Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlindex27-self,unknown,8,100,100,0,0.22104454040527344,452.397511454729,0.012946557953350066,0.058569906,1,0.37,0.58,0.74,49.02333333333333,49.15,147.07
dy-erlindex27-self,unknown,8,1000,1000,0,0.7962946891784668,1255.8164880286906,0.5952539301131725,0.7475297,1,0.9099999999999999,1.66,1.8199999999999998,48.77,48.89,146.31
dy-erlindex27-self,unknown,8,5000,5000,0,3.890026569366455,1285.3382646212413,8.744152457942208,2.247838749175,4,51.0175,113.37,204.07,53.7475,55.7,214.99
dy-erlindex27-self,unknown,8,8000,8000,0,6.261036157608032,1277.7437789236985,19.84614583778325,3.16978617248,5,57.81,136.0,346.86,54.89166666666667,57.05,329.35
dy-erlindex27-self,unknown,8,10000,10000,0,7.950294256210327,1257.8150792580484,30.081997201040114,3.7837589693666662,6,80.27,131.04,481.62,54.76666666666667,58.57,328.6
dy-erlindex27-self,unknown,8,15000,15000,0,13.047449111938477,1149.6500098455974,51.70009199129667,3.9624674177875,8,86.52555555555556,145.04,778.73,55.93444444444444,60.06,503.40999999999997
dy-erlindex27-self,unknown,8,20000,20000,0,18.304094552993774,1092.6516983452125,71.51292458033244,3.9069359248166666,12,107.46333333333332,179.49,1289.56,58.71083333333333,67.04,704.53
dy-erlindex27-self,unknown,8,30000,30000,0,28.072540044784546,1068.6599770501903,137.90648285024238,4.9125046265937495,16,131.519375,206.39,2104.31,63.909375,85.74,1022.55
dy-erlindex27-self,unknown,8,40000,40000,0,39.65724992752075,1008.6428099050154,184.25604769230952,4.64621344215909,22,130.66045454545454,205.39,2874.53,71.5,101.6,1573.0
dy-erlindex27-self,unknown,8,50000,50000,0,50.011412620544434,999.7717996763854,278.23210850758596,5.563372317007691,26,147.2888888888889,205.13,3976.8,81.1288888888889,142.9,2190.48
dy-erlindex27-self,unknown,8,60000,59993,7,63.81730651855469,940.1838352822864,338.27589577034536,5.300692151148571,35,153.2058823529412,221.82,5209.0,97.19529411764705,185.5,3304.64
dy-erlindex27-self,unknown,8,70000,69993,7,76.33887028694153,916.9640543131557,440.0812996685183,5.764839039592105,38,155.1055,229.12,6204.22,109.68074999999999,220.2,4387.23
dy-erlindex27-self,unknown,8,80000,79994,6,92.69045829772949,863.0877597242353,479.1134262492109,5.168961671440425,47,147.3923404255319,205.41,6927.44,130.58229166666666,255.7,6267.95
