Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-erlang27-self,unknown,8,100,100,0,0.17137575149536133,583.5131232244763,0.004685342516192651,0.027339588449999997,2,0.845,1.53,1.69,47.153333333333336,47.26,141.46
st-erlang27-self,unknown,8,1000,1000,0,0.8044428825378418,1243.0963362435605,0.568982289930439,0.7072998,1,0.6,1.01,1.2,50.910000000000004,51.1,152.73000000000002
st-erlang27-self,unknown,8,5000,5000,0,3.8811254501342773,1288.2861077904638,9.361517494692706,2.41206258725,4,57.235,129.79,228.94,52.1625,53.39,208.65
st-erlang27-self,unknown,8,8000,8000,0,6.289560556411743,1271.9489586350496,18.331914766838455,2.914657487183333,6,80.574,135.87,402.87,55.096666666666664,57.93,330.58
st-erlang27-self,unknown,8,10000,10000,0,8.373213529586792,1194.2846034757085,37.61445418392159,4.49223635,5,90.765,153.66,544.59,57.06857142857143,60.81,399.48
st-erlang27-self,unknown,8,15000,14997,3,13.279938697814941,1129.5232863136691,46.58662736256377,3.508045362455555,9,87.84444444444445,150.76,790.6,58.13333333333334,64.49,523.2
st-erlang27-self,unknown,8,20000,20000,0,18.2338445186615,1096.8613875988096,77.01478279188443,4.223727075936364,11,117.76272727272728,191.49,1295.39,56.29818181818182,61.07,619.28
st-erlang27-self,unknown,8,30000,30000,0,28.758765697479248,1043.1602077633515,133.8284694093471,4.653484465123529,17,129.81470588235294,190.75,2206.85,64.04529411764706,76.87,1088.77
st-erlang27-self,unknown,8,40000,40000,0,39.87646222114563,1003.098012510971,212.64198927559374,5.332518920468182,22,145.52409090909092,227.91,3201.53,69.33863636363637,99.02,1525.45
st-erlang27-self,unknown,8,50000,49997,3,50.06955909729004,998.6107507526704,270.6138139920351,5.404757279092593,27,147.60333333333332,212.17,3985.29,84.48037037037037,148.5,2280.97
st-erlang27-self,unknown,8,60000,59991,9,62.54139852523804,959.3645395663406,288.16074525609366,4.607520011561764,34,135.83727272727273,177.16,4482.63,102.83060606060606,228.8,3393.41
st-erlang27-self,unknown,8,70000,69992,8,75.75940227508545,923.9777228683402,423.53996397580727,5.590592735115789,38,150.24575,237.05,6009.83,113.60175,226.7,4544.07
st-erlang27-self,unknown,8,80000,79996,4,92.07278394699097,868.8778222026866,481.596209515469,5.230603321310869,46,141.81291666666667,206.62,6807.02,140.87416666666667,276.9,6761.96
